
StnID: kbos    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
180104/2200Z  34  33015KT  30.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000   16:1|  3.6|| 0.00|| 0.00|| 0.38    0|  0|  0
180104/2300Z  35  32014KT  29.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000   16:1|  3.6|| 0.00|| 0.00|| 0.38    0|  0|  0
180105/0000Z  36  30014KT  27.0F  SNOW   12:1| 0.4|| 0.00|| 0.00|| 0.030   16:1|  4.0|| 0.00|| 0.00|| 0.41  100|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/0100Z  37  30014KT  26.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000   16:1|  4.0|| 0.00|| 0.00|| 0.41    0|  0|  0
180105/0200Z  38  30015KT  25.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000   16:1|  4.0|| 0.00|| 0.00|| 0.41    0|  0|  0
180105/0300Z  39  30014KT  24.0F  SNOW    9:1| 0.3|| 0.00|| 0.00|| 0.032   15:1|  4.3|| 0.00|| 0.00|| 0.44  100|  0|  0
180105/0400Z  40  30013KT  23.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000   15:1|  4.3|| 0.00|| 0.00|| 0.44    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/0500Z  41  30012KT  23.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000   15:1|  4.3|| 0.00|| 0.00|| 0.44    0|  0|  0
180105/0600Z  42  29011KT  22.7F  SNOW   12:1| 0.4|| 0.00|| 0.00|| 0.035   15:1|  4.7|| 0.00|| 0.00|| 0.48  100|  0|  0
180105/0700Z  43  29009KT  21.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000   15:1|  4.7|| 0.00|| 0.00|| 0.48    0|  0|  0
180105/0800Z  44  28009KT  21.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000   15:1|  4.7|| 0.00|| 0.00|| 0.48    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/0900Z  45  27010KT  20.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1000Z  46  27011KT  19.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1100Z  47  27011KT  17.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1200Z  48  28011KT  15.7F  SNOW   22:1| 0.1|| 0.00|| 0.00|| 0.006   22:1|  0.1|| 0.00|| 0.00|| 0.01  100|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/1300Z  49  27011KT  13.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000   22:1|  0.1|| 0.00|| 0.00|| 0.01    0|  0|  0
180105/1400Z  50  27012KT  13.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000   22:1|  0.1|| 0.00|| 0.00|| 0.01    0|  0|  0
180105/1500Z  51  27012KT  13.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1600Z  52  27012KT  14.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/1700Z  53  28013KT  14.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1800Z  54  28013KT  14.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/1900Z  55  28014KT  13.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/2000Z  56  28013KT  11.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180105/2100Z  57  28012KT   9.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/2200Z  58  28011KT   7.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180105/2300Z  59  28011KT   6.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0000Z  60  28011KT   5.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180106/0100Z  61  28011KT   4.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0200Z  62  28011KT   3.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0300Z  63  28011KT   3.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0400Z  64  28010KT   2.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180106/0500Z  65  28010KT   2.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0600Z  66  28010KT   1.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0700Z  67  27009KT   0.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/0800Z  68  27009KT  -0.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180106/0900Z  69  28009KT  -0.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1000Z  70  28008KT  -1.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1100Z  71  27008KT  -1.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1200Z  72  27008KT  -1.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180106/1300Z  73  27009KT  -1.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1400Z  74  28011KT   0.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1500Z  75  28011KT   2.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180106/1600Z  76  28011KT   4.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
