STATION =  70.20N 148.47W ASC
19062713    12
****************************************************
 ASC  19062713 FORECAST PROJECTION= 0
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  45 -46.0 99.0   7.7 146.   40.   0.    0.
  44 -46.4 99.0   5.5 135.   47.   0.    0.
  43 -47.1 99.0   3.4 103.   54.   0.    0.
  42 -47.5 99.0   2.4  99.   62.   0.    0.
  41 -47.6 99.0   4.4  67.   71.   0.    0.
  40 -47.3 99.0   6.4   5.   81.   0.    0.
  39 -47.2 99.0   8.3 345.   94.   0.    0.
  38 -47.5 99.0  11.0 353.  108.   0.    0.
  37 -47.6 99.0  15.3 348.  122.   0.    0.
  36 -47.5 99.0  18.2 342.  136.   0.    0.
  35 -47.1 99.0  21.4 343.  150.   0.    0.
  34 -47.1 99.0  25.7 342.  164.   0.    0.
  33 -47.6 99.0  32.1 345.  178.   0.    0.
  32 -49.5 23.7  44.2 340.  192.   5.    0.
  31 -53.3 14.6  56.6 340.  206.  15.    0.
  30 -55.5  6.8  69.0 342.  220.  42.   -1.
  29 -54.4  7.4  80.0 340.  234.  39.   -1.
  28 -52.5  4.4  84.2 335.  249.  59.   -1.
  27 -49.3  3.3  85.1 334.  266.  68.   -2.
  26 -45.4  2.9  85.2 334.  284.  72.   -2.
  25 -41.3  2.5  82.0 333.  305.  76.   -3.
  24 -37.5  2.8  77.4 334.  327.  75.   -2.
  23 -33.6  3.1  72.7 336.  352.  73.   -2.
  22 -30.1  2.7  68.9 334.  381.  77.   -1.
  21 -26.6  2.5  63.7 333.  412.  79.   -2.
  20 -23.1  1.9  53.5 329.  447.  84.   -2.
  19 -19.7  1.4  43.5 327.  486.  89.   -1.
  18 -15.7  2.4  33.5 328.  529.  82.    0.
  17 -11.7  3.1  25.6 329.  577.  78.    2.
  16  -8.3  3.0  20.9 333.  627.  79.    1.
  15  -5.4  5.4  19.0 335.  674.  66.    0.
  14  -2.3 12.4  19.5 327.  719.  38.   -1.
  13   0.5  7.2  22.2 320.  760.  59.   -3.
  12   3.5  7.5  19.1 317.  798.  58.   -4.
  11   6.2 13.2  15.4 317.  833.  38.   -3.
  10   8.0 18.9  10.2 305.  865.  25.   -3.
   9   9.0 19.1   5.7 264.  894.  25.   -2.
   8  10.0 19.5   4.3 190.  920.  24.   -1.
   7  10.6 21.0   9.3 147.  944.  22.   -1.
   6   9.9 17.8  12.4 138.  966.  28.    0.
   5   9.0 14.4  14.3 123.  984.  36.    0.
   4   9.3 12.5  13.7 114.  998.  41.    0.
   3  10.1 12.8  13.2 112. 1008.  41.   -1.
   2  10.8 13.1  12.3 111. 1013.  40.   -1.
   1  11.5 13.3  10.7 112. 1016.  39.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=10
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.0 99.0  16.9 135.   12.   0.    0.
  49 -37.7 99.0  16.5 157.   17.   0.    0.
  48 -41.6 99.0  16.2 170.   22.   0.    0.
  47 -43.4 99.0  15.3 156.   28.   0.    0.
  46 -44.9 99.0  12.8 148.   34.   0.    0.
  45 -45.9 99.0   9.5 134.   40.   0.    0.
  44 -46.7 99.0   6.4 119.   47.   0.    0.
  43 -47.3 99.0   3.9  99.   54.   0.    0.
  42 -47.4 99.0   1.3 117.   62.   0.    0.
  41 -47.6 99.0   3.3  90.   71.   0.    0.
  40 -47.6 99.0   6.0  19.   81.   0.    0.
  39 -47.6 99.0   9.2 348.   94.   0.    0.
  38 -47.5 99.0  11.7 349.  108.   0.    0.
  37 -47.5 99.0  16.2 350.  122.   0.    0.
  36 -47.4 99.0  19.6 342.  136.   0.    0.
  35 -47.1 99.0  22.5 339.  150.   0.    0.
  34 -47.2 99.0  26.5 340.  164.   0.    0.
  33 -48.1 99.0  33.7 341.  178.   0.    0.
  32 -49.8 23.4  44.9 339.  192.   5.    0.
  31 -53.6 14.3  56.6 338.  206.  16.    0.
  30 -55.8  6.5  67.9 343.  220.  44.   -1.
  29 -54.6  7.2  79.2 341.  234.  40.   -1.
  28 -52.5  5.7  81.6 335.  249.  50.   -1.
  27 -49.2  6.1  83.1 335.  266.  49.    0.
  26 -45.2  6.1  84.2 336.  284.  50.    1.
  25 -41.3  2.9  81.4 335.  304.  74.    1.
  24 -37.4  2.1  79.1 334.  327.  80.    1.
  23 -33.5  3.0  73.9 336.  352.  74.    1.
  22 -30.0  2.5  68.8 335.  381.  79.    0.
  21 -26.5  2.6  62.2 333.  412.  78.    0.
  20 -23.0  2.0  52.3 332.  447.  83.   -1.
  19 -19.5  2.0  42.9 328.  486.  84.   -1.
  18 -15.5  3.7  34.6 329.  529.  73.    0.
  17 -11.2  5.4  28.5 330.  577.  64.    0.
  16  -7.8  4.4  20.9 336.  627.  71.    0.
  15  -5.5  6.6  17.4 344.  674.  60.    0.
  14  -2.7  9.4  17.7 333.  719.  48.   -1.
  13   0.0  2.1  19.1 321.  760.  86.   -2.
  12   3.2  5.5  16.2 312.  798.  67.   -2.
  11   5.8 12.0  14.2 311.  833.  42.   -1.
  10   7.8 16.3  12.2 299.  866.  31.   -1.
   9   9.2 17.8   8.6 283.  894.  27.   -1.
   8  10.2 18.9   3.9 250.  920.  25.    0.
   7  10.7 19.9   6.0 155.  944.  24.    1.
   6  10.3 18.7  11.8 132.  966.  26.    1.
   5   9.4 15.6  14.4 119.  984.  33.    1.
   4   9.5 13.7  14.0 111.  998.  38.    0.
   3  10.4 14.1  13.4 109. 1008.  37.    0.
   2  11.1 14.5  12.7 109. 1013.  36.   -1.
   1  11.9 14.9  11.2 110. 1016.  35.   -1.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=11
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.0 99.0  13.2 135.   12.   0.    0.
  49 -37.0 99.0  14.0 156.   17.   0.    0.
  48 -41.6 99.0  12.2 166.   22.   0.    0.
  47 -43.3 99.0  11.9 170.   28.   0.    0.
  46 -44.3 99.0   9.5 160.   34.   0.    0.
  45 -45.0 99.0   9.0 141.   40.   0.    0.
  44 -46.4 99.0   7.3 122.   47.   0.    0.
  43 -47.6 99.0   5.4 105.   54.   0.    0.
  42 -47.7 99.0   0.7 124.   62.   0.    0.
  41 -47.5 99.0   1.3 153.   71.   0.    0.
  40 -47.5 99.0   4.4  15.   81.   0.    0.
  39 -47.6 99.0   9.6 346.   94.   0.    0.
  38 -47.3 99.0  12.4 344.  108.   0.    0.
  37 -47.2 99.0  16.4 350.  122.   0.    0.
  36 -47.3 99.0  20.4 345.  136.   0.    0.
  35 -46.9 99.0  23.3 338.  150.   0.    0.
  34 -47.0 99.0  26.6 338.  164.   0.    0.
  33 -47.7 99.0  32.6 341.  178.   0.    0.
  32 -50.4 22.8  45.9 339.  192.   5.    0.
  31 -53.9 14.0  56.6 335.  206.  16.    0.
  30 -55.5  6.8  65.8 343.  220.  42.    0.
  29 -54.5  7.3  78.3 342.  234.  40.   -1.
  28 -52.6  5.6  81.9 338.  249.  51.    0.
  27 -49.4  3.2  83.0 337.  266.  69.    0.
  26 -45.3  4.1  83.3 338.  284.  63.    1.
  25 -41.3  3.7  80.6 337.  304.  68.    1.
  24 -37.3  3.3  78.9 334.  327.  71.    1.
  23 -33.3  3.4  75.9 335.  352.  71.    1.
  22 -29.6  3.2  69.8 336.  381.  73.    0.
  21 -26.4  2.5  63.4 335.  412.  79.    0.
  20 -22.8  4.2  49.9 335.  447.  69.    0.
  19 -19.3  6.5  40.0 333.  485.  56.    0.
  18 -15.2  8.8  33.9 333.  529.  47.    0.
  17 -10.9 10.0  29.3 333.  577.  43.    0.
  16  -7.5  6.8  22.6 337.  627.  58.    0.
  15  -5.4  8.5  17.6 350.  674.  51.    0.
  14  -2.7 10.5  16.4 340.  718.  44.    0.
  13  -0.1  1.7  16.8 325.  760.  88.    0.
  12   3.1  3.9  15.0 314.  798.  76.    0.
  11   5.6  8.9  13.5 311.  833.  53.   -1.
  10   7.6 11.3  12.7 302.  865.  45.   -1.
   9   9.2 13.7  10.8 291.  894.  38.   -2.
   8  10.4 16.7   6.5 279.  920.  30.   -1.
   7  10.9 19.1   3.4 170.  944.  25.    0.
   6  10.7 19.5  11.3 132.  966.  25.    1.
   5   9.4 16.0  15.0 119.  984.  32.    1.
   4   9.3 13.8  14.6 111.  998.  37.    0.
   3  10.2 14.3  14.1 108. 1008.  36.    0.
   2  10.9 14.7  13.3 108. 1013.  35.   -1.
   1  11.7 15.2  11.7 109. 1016.  34.   -1.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=12
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.6 99.0  13.3 128.   12.   0.    0.
  49 -36.9 99.0  11.7 156.   17.   0.    0.
  48 -41.4 99.0  11.5 144.   22.   0.    0.
  47 -44.2 99.0  10.3 148.   28.   0.    0.
  46 -45.5 99.0   8.1 150.   34.   0.    0.
  45 -45.5 99.0   8.2 158.   40.   0.    0.
  44 -45.6 99.0   7.4 147.   47.   0.    0.
  43 -46.6 99.0   6.5 120.   54.   0.    0.
  42 -47.5 99.0   2.7  86.   62.   0.    0.
  41 -47.7 99.0   0.6 108.   71.   0.    0.
  40 -47.6 99.0   4.6  22.   81.   0.    0.
  39 -47.7 99.0  10.6 354.   94.   0.    0.
  38 -47.4 99.0  13.2 346.  108.   0.    0.
  37 -47.1 99.0  16.3 352.  122.   0.    0.
  36 -47.3 99.0  20.7 348.  136.   0.    0.
  35 -47.2 99.0  24.7 341.  150.   0.    0.
  34 -47.1 99.0  28.7 335.  164.   0.    0.
  33 -47.4 99.0  32.8 341.  178.   0.    0.
  32 -50.1 23.1  46.8 339.  192.   5.    0.
  31 -54.2 10.8  57.2 335.  206.  25.    0.
  30 -55.5  9.0  65.5 342.  220.  32.   -1.
  29 -54.4  7.4  79.5 342.  234.  39.   -1.
  28 -52.5  4.4  83.8 339.  249.  59.    0.
  27 -49.4  3.2  83.4 338.  266.  69.    1.
  26 -45.5  3.9  82.0 338.  284.  65.    1.
  25 -41.4  4.4  79.8 337.  304.  62.    1.
  24 -37.3  4.2  78.2 335.  327.  65.    0.
  23 -33.2  3.7  76.9 336.  352.  69.    0.
  22 -29.5  3.2  70.3 336.  381.  74.   -1.
  21 -26.1  2.3  66.2 334.  412.  81.   -1.
  20 -22.9  4.1  50.5 337.  447.  69.   -1.
  19 -19.3 11.9  39.9 336.  485.  34.   -1.
  18 -14.9 15.4  34.6 336.  529.  26.    0.
  17 -10.6 16.0  29.5 334.  577.  26.    0.
  16  -7.0 12.0  24.3 337.  627.  38.    1.
  15  -5.1 11.7  17.9 351.  674.  40.    1.
  14  -2.5 13.8  15.3 348.  718.  34.    1.
  13   0.0  3.4  15.4 335.  760.  78.    0.
  12   3.1  2.8  14.5 322.  798.  82.    1.
  11   5.6  6.4  14.0 317.  833.  63.    0.
  10   7.6  7.7  13.2 311.  865.  58.    0.
   9   9.1  9.6  11.5 300.  894.  51.    0.
   8  10.6 13.8   7.7 295.  920.  38.    0.
   7  11.2 18.1   1.6 180.  944.  27.    1.
   6  11.1 19.9  10.9 130.  966.  24.    1.
   5   9.6 16.8  15.7 119.  984.  30.    1.
   4   9.3 13.8  15.4 113.  998.  37.    0.
   3  10.1 14.2  14.8 111. 1007.  37.    0.
   2  10.8 14.7  13.7 111. 1013.  36.   -1.
   1  11.6 15.1  12.1 111. 1016.  35.   -1.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=13
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -33.0 99.0  16.5 125.   12.   0.    0.
  49 -38.3 99.0  11.3 144.   17.   0.    0.
  48 -42.2 99.0  10.5 152.   22.   0.    0.
  47 -44.4 99.0  10.0 148.   28.   0.    0.
  46 -46.1 99.0   9.9 140.   34.   0.    0.
  45 -47.0 99.0   8.3 153.   40.   0.    0.
  44 -46.7 99.0   6.7 163.   47.   0.    0.
  43 -46.7 99.0   4.7 145.   54.   0.    0.
  42 -47.4 99.0   2.3  66.   62.   0.    0.
  41 -47.8 99.0   1.8   6.   71.   0.    0.
  40 -47.7 99.0   5.7  27.   81.   0.    0.
  39 -47.9 99.0  11.9   5.   94.   0.    0.
  38 -47.7 99.0  14.1 349.  108.   0.    0.
  37 -47.1 99.0  16.5 352.  122.   0.    0.
  36 -47.1 99.0  21.2 349.  136.   0.    0.
  35 -47.5 99.0  26.2 345.  150.   0.    0.
  34 -47.5 99.0  31.6 337.  164.   0.    0.
  33 -47.6 99.0  34.8 341.  178.   0.    0.
  32 -49.6 23.6  48.0 338.  192.   5.    0.
  31 -53.8 14.1  57.1 334.  206.  16.    0.
  30 -55.5  9.0  65.8 341.  220.  32.   -1.
  29 -54.7  7.1  82.4 342.  234.  41.   -1.
  28 -52.4  5.8  86.5 338.  249.  50.    0.
  27 -49.0  4.4  85.3 337.  266.  60.    1.
  26 -45.4  4.6  81.5 338.  284.  60.    2.
  25 -41.4  4.8  78.5 338.  305.  59.    2.
  24 -37.4  4.1  77.1 337.  327.  66.    2.
  23 -33.4  3.3  76.2 336.  352.  72.    1.
  22 -29.5  2.9  70.6 336.  381.  76.    1.
  21 -25.9  2.3  65.5 334.  412.  81.    1.
  20 -22.8  3.6  51.8 339.  447.  72.    0.
  19 -19.2 13.3  40.2 341.  486.  30.    0.
  18 -14.8 19.2  34.2 340.  529.  18.    0.
  17 -10.5 18.1  29.4 336.  577.  21.   -1.
  16  -6.8 17.4  24.9 336.  627.  24.   -1.
  15  -4.7 15.5  17.1 345.  674.  29.    0.
  14  -2.3 16.5  13.4 346.  718.  27.    0.
  13   0.2  5.8  14.3 343.  760.  65.    1.
  12   3.1  2.7  13.6 331.  798.  83.    0.
  11   5.6  5.9  13.4 326.  833.  66.    0.
  10   7.7  6.9  13.0 322.  865.  62.    0.
   9   9.1  8.0  11.0 318.  894.  57.    0.
   8  10.6 12.3   6.6 320.  920.  42.    0.
   7  11.3 17.9   2.3 110.  944.  28.    0.
   6  11.1 20.2  12.4 125.  966.  23.    1.
   5   9.7 17.2  16.4 118.  984.  29.    0.
   4   9.0 13.4  16.0 113.  998.  38.    0.
   3   9.8 13.7  15.2 111. 1008.  38.   -1.
   2  10.4 14.1  14.1 110. 1013.  37.   -1.
   1  11.2 14.6  12.2 110. 1016.  36.   -1.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=14
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.9 99.0  21.6 132.   12.   0.    0.
  49 -39.2 99.0  14.3 132.   17.   0.    0.
  48 -42.9 99.0  10.7 153.   22.   0.    0.
  47 -44.0 99.0   9.8 157.   28.   0.    0.
  46 -45.4 99.0  10.5 146.   34.   0.    0.
  45 -46.9 99.0   8.2 142.   40.   0.    0.
  44 -47.4 99.0   6.3 146.   47.   0.    0.
  43 -47.2 99.0   4.0 141.   54.   0.    0.
  42 -47.6 99.0   2.5  45.   62.   0.    0.
  41 -47.9 99.0   3.6 319.   71.   0.    0.
  40 -47.2 99.0   3.7   3.   81.   0.    0.
  39 -47.3 99.0  10.9  11.   94.   0.    0.
  38 -47.6 99.0  13.8 358.  108.   0.    0.
  37 -47.4 99.0  15.6 354.  122.   0.    0.
  36 -47.1 99.0  20.4 350.  136.   0.    0.
  35 -47.3 99.0  25.9 345.  150.   0.    0.
  34 -47.4 99.0  31.9 339.  164.   0.    0.
  33 -47.9 99.0  35.5 343.  178.   0.    0.
  32 -50.1 23.1  50.3 337.  192.   5.    0.
  31 -53.2 14.7  57.1 332.  206.  15.    0.
  30 -55.4  9.1  65.5 342.  220.  31.    0.
  29 -55.1  5.0  83.6 342.  234.  54.    0.
  28 -52.6  4.3  85.9 339.  249.  59.    0.
  27 -48.7  5.6  85.7 337.  266.  52.    0.
  26 -45.1  4.9  82.0 338.  284.  58.    0.
  25 -41.4  4.4  77.8 338.  305.  62.    1.
  24 -37.4  4.1  76.2 336.  327.  66.    1.
  23 -33.6  3.1  75.1 336.  352.  73.    1.
  22 -29.5  2.7  72.7 335.  381.  77.    1.
  21 -25.7  2.2  66.0 335.  412.  81.    1.
  20 -22.7  3.0  53.4 340.  447.  76.    1.
  19 -19.1 14.9  39.2 344.  486.  26.    1.
  18 -14.7 20.7  33.4 341.  529.  15.    0.
  17 -10.5 18.8  29.5 337.  577.  20.    0.
  16  -6.9 20.3  24.8 337.  627.  18.    0.
  15  -4.7 17.3  17.4 340.  674.  24.    0.
  14  -2.2 17.9  13.0 335.  718.  24.    1.
  13   0.3  8.2  13.8 343.  760.  54.    1.
  12   3.1  3.0  13.7 336.  798.  81.    0.
  11   5.5  5.9  13.3 331.  833.  66.    0.
  10   7.5  7.2  13.1 333.  865.  60.    0.
   9   9.1  8.4  10.6 334.  894.  56.    0.
   8  10.4 12.6   5.9 349.  920.  41.    1.
   7  11.1 18.6   4.5 100.  944.  26.    1.
   6  10.7 20.7  13.9 123.  966.  22.    1.
   5   9.2 17.0  16.5 118.  984.  29.    1.
   4   8.0 12.1  16.0 112.  998.  42.    0.
   3   8.8 12.4  15.1 110. 1008.  41.    0.
   2   9.4 12.8  14.0 109. 1013.  40.   -1.
   1  10.2 13.4  12.1 109. 1016.  39.   -1.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=15
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.8 99.0  19.8 142.   12.   0.    0.
  49 -38.1 99.0  13.5 140.   17.   0.    0.
  48 -41.5 99.0  10.6 144.   22.   0.    0.
  47 -43.2 99.0   8.9 144.   28.   0.    0.
  46 -44.5 99.0   8.5 164.   34.   0.    0.
  45 -45.4 99.0   7.0 152.   40.   0.    0.
  44 -46.5 99.0   7.2 137.   47.   0.    0.
  43 -46.7 99.0   6.3 130.   54.   0.    0.
  42 -47.0 99.0   4.9  85.   62.   0.    0.
  41 -47.8 99.0   3.3 353.   71.   0.    0.
  40 -47.2 99.0   3.2 349.   81.   0.    0.
  39 -47.0 99.0   9.1  11.   94.   0.    0.
  38 -47.3 99.0  12.9 357.  108.   0.    0.
  37 -47.3 99.0  14.7 354.  122.   0.    0.
  36 -47.2 99.0  18.9 355.  136.   0.    0.
  35 -47.3 99.0  25.4 351.  150.   0.    0.
  34 -47.4 99.0  30.9 343.  164.   0.    0.
  33 -48.2 99.0  35.2 347.  178.   0.    0.
  32 -50.7 22.5  51.6 339.  192.   5.    0.
  31 -53.3 14.6  58.3 330.  206.  15.    0.
  30 -55.2  9.3  65.1 341.  220.  31.    0.
  29 -55.6  4.5  81.9 341.  234.  57.    0.
  28 -52.7  4.2  82.6 339.  249.  60.    1.
  27 -48.6  6.7  81.3 337.  266.  46.    1.
  26 -44.6  7.5  80.3 338.  284.  43.    1.
  25 -41.1  4.7  77.1 338.  304.  60.    1.
  24 -37.3  3.9  75.0 336.  327.  67.    1.
  23 -33.5  3.2  73.6 335.  352.  73.    0.
  22 -29.5  2.6  73.0 334.  381.  78.    0.
  21 -25.4  2.2  67.7 335.  412.  82.    0.
  20 -22.6  2.9  53.1 340.  447.  77.    0.
  19 -19.1 15.8  37.8 345.  486.  23.    0.
  18 -14.7 20.9  32.7 340.  529.  15.    0.
  17 -10.4 19.7  30.5 336.  577.  18.    0.
  16  -6.7 21.6  26.1 336.  627.  16.    0.
  15  -4.4 17.6  19.4 336.  674.  24.    1.
  14  -1.7 18.6  14.5 328.  718.  23.    2.
  13   0.6 12.0  13.5 337.  760.  40.    1.
  12   3.0  3.8  13.7 339.  798.  76.    0.
  11   5.6  6.1  13.2 336.  833.  65.    0.
  10   7.5  8.2  12.3 339.  865.  56.    0.
   9   9.0  9.9   9.3 349.  894.  50.    1.
   8  10.3 13.6   5.2  15.  920.  38.    1.
   7  11.0 19.5   6.0 105.  944.  25.    1.
   6  10.5 21.4  15.0 124.  966.  21.    1.
   5   8.6 16.5  16.8 120.  984.  30.    1.
   4   7.1 11.1  16.0 114.  998.  45.    0.
   3   7.8 11.4  15.1 112. 1008.  44.    0.
   2   8.5 11.9  13.9 110. 1013.  43.   -1.
   1   9.1 12.2  11.9 111. 1016.  42.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1017.
****************************************************
 ASC  19062713 FORECAST PROJECTION=16
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.9 99.0  19.1 136.   12.   0.    0.
  49 -38.2 99.0  15.7 131.   17.   0.    0.
  48 -41.9 99.0  11.3 138.   22.   0.    0.
  47 -43.8 99.0   9.4 142.   28.   0.    0.
  46 -45.1 99.0   7.2 156.   34.   0.    0.
  45 -45.9 99.0   5.7 152.   40.   0.    0.
  44 -46.9 99.0   5.4 159.   47.   0.    0.
  43 -47.0 99.0   5.3 141.   54.   0.    0.
  42 -46.9 99.0   6.0  90.   62.   0.    0.
  41 -48.0 99.0   5.9  17.   71.   0.    0.
  40 -47.9 99.0   5.9 352.   81.   0.    0.
  39 -47.6 99.0   9.8   5.   94.   0.    0.
  38 -47.5 99.0  13.6 352.  108.   0.    0.
  37 -47.3 99.0  15.3 345.  122.   0.    0.
  36 -47.0 99.0  18.1 352.  136.   0.    0.
  35 -47.2 99.0  24.6 354.  150.   0.    0.
  34 -47.7 99.0  30.4 347.  164.   0.    0.
  33 -48.9 99.0  35.8 348.  178.   0.    0.
  32 -51.2 22.0  51.9 339.  192.   6.    0.
  31 -53.7 14.2  60.1 332.  206.  16.    0.
  30 -55.5  9.0  66.5 340.  220.  32.    0.
  29 -55.3  4.8  78.5 340.  234.  55.    0.
  28 -52.4  5.8  79.0 337.  249.  50.    1.
  27 -48.8  5.5  78.2 337.  266.  52.    1.
  26 -44.8  6.5  77.0 338.  284.  48.    1.
  25 -41.0  4.8  75.3 338.  305.  60.    1.
  24 -37.3  3.0  72.8 336.  327.  73.    0.
  23 -33.5  2.8  71.3 334.  353.  76.    0.
  22 -29.5  2.3  70.9 333.  381.  81.   -1.
  21 -25.3  1.9  67.6 335.  412.  84.   -1.
  20 -22.3  2.9  52.9 340.  447.  77.    0.
  19 -19.0 15.9  36.0 346.  486.  23.    1.
  18 -14.6 21.3  31.2 341.  529.  15.    1.
  17 -10.2 19.9  30.1 339.  577.  18.    1.
  16  -6.6 21.7  26.2 341.  627.  16.    1.
  15  -4.2 17.5  20.3 340.  674.  24.    1.
  14  -1.5 17.0  16.3 329.  719.  26.    0.
  13   0.8 14.3  13.9 333.  760.  34.    0.
  12   3.0  5.4  13.5 340.  798.  68.    0.
  11   5.5  6.3  13.2 338.  833.  64.    0.
  10   7.5  8.7  11.9 342.  866.  54.    0.
   9   9.0 11.7   7.4 357.  894.  44.    1.
   8  10.2 15.1   4.3  39.  920.  34.    2.
   7  10.8 20.1   7.0 114.  944.  24.    2.
   6  10.3 21.8  16.0 127.  966.  20.    1.
   5   8.4 16.6  16.8 124.  984.  30.    1.
   4   6.3 10.1  15.9 117.  998.  48.    0.
   3   7.0 10.3  14.8 113. 1008.  48.    0.
   2   7.6 10.7  13.4 112. 1014.  47.    0.
   1   8.2 11.1  11.3 112. 1017.  45.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION=17
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.9 99.0  16.3 140.   12.   0.    0.
  49 -38.1 99.0  18.4 132.   17.   0.    0.
  48 -42.3 99.0  13.8 133.   22.   0.    0.
  47 -44.3 99.0   9.7 142.   28.   0.    0.
  46 -45.3 99.0   6.5 143.   34.   0.    0.
  45 -46.2 99.0   5.1 127.   40.   0.    0.
  44 -47.2 99.0   1.4 164.   47.   0.    0.
  43 -47.4 99.0   1.2 219.   54.   0.    0.
  42 -46.8 99.0   2.9  90.   62.   0.    0.
  41 -47.3 99.0   7.0  19.   71.   0.    0.
  40 -47.6 99.0   7.0   6.   81.   0.    0.
  39 -47.9 99.0   9.6  14.   94.   0.    0.
  38 -48.0 99.0  13.4 357.  108.   0.    0.
  37 -47.7 99.0  15.9 341.  122.   0.    0.
  36 -47.0 99.0  17.2 342.  136.   0.    0.
  35 -47.0 99.0  22.6 349.  150.   0.    0.
  34 -47.6 99.0  28.9 344.  164.   0.    0.
  33 -49.0 99.0  34.5 346.  178.   0.    0.
  32 -51.1 22.1  50.4 340.  192.   5.    0.
  31 -54.4 13.5  61.5 335.  206.  17.    0.
  30 -56.0  8.5  69.0 340.  220.  34.    0.
  29 -55.1  5.0  76.6 339.  234.  54.    0.
  28 -52.2  7.4  77.3 338.  249.  40.    1.
  27 -48.9  5.4  75.4 339.  266.  53.    1.
  26 -45.0  5.6  74.3 339.  284.  53.    0.
  25 -41.0  4.4  73.1 338.  305.  63.    0.
  24 -37.5  2.0  70.6 336.  327.  81.    0.
  23 -33.6  2.5  68.8 333.  353.  78.   -1.
  22 -29.6  2.3  67.8 332.  381.  80.   -1.
  21 -25.2  2.0  66.1 334.  412.  84.   -1.
  20 -22.3  2.8  52.9 341.  447.  78.    0.
  19 -19.0 15.9  35.3 346.  486.  23.    1.
  18 -14.3 22.9  30.3 340.  529.  12.    1.
  17  -9.9 20.8  29.5 342.  577.  17.    2.
  16  -6.4 21.3  26.2 346.  627.  17.    1.
  15  -4.1 18.3  20.3 343.  674.  23.    0.
  14  -1.5 15.5  17.3 333.  719.  30.    0.
  13   0.9 15.7  15.0 332.  760.  30.   -1.
  12   3.0  7.8  13.4 338.  798.  56.   -1.
  11   5.4  6.7  13.1 339.  834.  62.    0.
  10   7.5  9.3  11.6 345.  866.  52.    0.
   9   8.9 13.0   6.2 356.  895.  40.    1.
   8  10.2 16.5   3.1  60.  920.  31.    1.
   7  10.7 20.3   7.1 122.  944.  23.    1.
   6  10.2 21.9  15.7 130.  966.  20.    1.
   5   8.2 16.6  16.3 127.  984.  30.    1.
   4   5.5  9.0  15.5 120.  998.  52.    0.
   3   6.1  9.0  14.0 115. 1008.  52.    0.
   2   6.7  9.5  12.8 114. 1014.  51.    0.
   1   7.2  9.8  10.6 114. 1017.  50.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION=18
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.9 99.0  13.0 152.   12.   0.    0.
  49 -37.4 99.0  17.8 151.   17.   0.    0.
  48 -41.6 99.0  16.4 135.   22.   0.    0.
  47 -44.1 99.0  11.3 132.   28.   0.    0.
  46 -45.2 99.0   6.5 139.   34.   0.    0.
  45 -45.9 99.0   5.2 132.   40.   0.    0.
  44 -46.6 99.0   1.8  96.   47.   0.    0.
  43 -47.5 99.0   1.4 352.   54.   0.    0.
  42 -47.3 99.0   0.7 124.   62.   0.    0.
  41 -47.3 99.0   4.5  10.   71.   0.    0.
  40 -47.2 99.0   5.2 345.   81.   0.    0.
  39 -47.4 99.0   7.3   9.   94.   0.    0.
  38 -48.0 99.0  12.8   2.  108.   0.    0.
  37 -48.2 99.0  16.9 345.  122.   0.    0.
  36 -47.5 99.0  18.5 339.  136.   0.    0.
  35 -47.2 99.0  23.0 345.  150.   0.    0.
  34 -47.6 99.0  29.8 343.  164.   0.    0.
  33 -48.8 99.0  34.2 345.  178.   0.    0.
  32 -50.8 22.4  50.2 342.  192.   5.    0.
  31 -54.2 13.7  63.4 337.  206.  17.    0.
